City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,gebeit,21.0667,36.3167,31.99,36,1,5.94,SD,1684857560
124,lazaro cardenas,17.9583,-102.2,31.3,53,64,1.9,MX,1684857561
125,zykovo,55.9519,93.1461,14.44,50,99,4.37,RU,1684857562
126,ushuaia,-54.8,-68.3,8.81,53,75,3.6,AR,1684857473
127,anadyr,64.75,177.4833,0.28,93,100,3.0,RU,1684857563
128,naze,28.3667,129.4833,18.51,60,0,6.81,JP,1684857564
129,salalah,17.0151,54.0924,29.06,77,18,3.31,OM,1684857565
130,hamilton,39.1834,-84.5333,25.97,56,99,1.34,US,1684857566
131,isafjordur,66.0755,-23.124,5.02,81,100,7.72,IS,1684857566
132,city of balikpapan,-1.242,116.8942,27.97,89,40,3.09,ID,1684857567
133,kumylzhenskaya,49.8809,42.5898,21.1,75,55,2.41,RU,1684857567
134,egilsstadir,65.2653,-14.3948,11.95,43,0,19.03,IS,1684857568
135,rio grande,-32.035,-52.0986,27.06,72,4,2.72,BR,1684857569
136,puerto natales,-51.7236,-72.4875,0.25,86,75,2.06,CL,1684857569
137,cambria,35.5641,-121.0808,14.75,94,82,1.34,US,1684857570
138,cidade velha,14.9167,-23.6167,27.26,57,75,9.77,CV,1684857571
139,dokkum,53.3222,5.997,13.36,62,40,7.72,NL,1684857572
140,kupang,-10.1667,123.5833,23.91,80,30,4.98,ID,1684857572
141,badger,64.8,-147.5333,11.74,77,0,2.57,US,1684857573
142,uturoa,-16.7333,-151.4333,27.29,73,21,5.32,PF,1684857574
143,avarua,-21.2078,-159.775,21.03,78,72,1.03,CK,1684857574
144,pitimbu,-7.4706,-34.8086,30.33,78,17,7.23,BR,1684857574
145,utrik,11.2278,169.8474,27.92,76,81,7.25,MH,1684857577
146,kapa'a,22.0752,-159.319,24.18,89,100,6.69,US,1684857577
147,volzhskiy,48.7858,44.7797,21.73,64,82,3.0,RU,1684857578
148,mount pearl,47.5166,-52.7813,3.86,96,100,8.23,CA,1684857580
149,spassk,52.747,87.7545,10.29,65,92,1.09,RU,1684857581
150,krzyz wielkopolski,52.881,16.0112,14.98,92,100,2.16,PL,1684857581
151,el calafate,-50.3408,-72.2768,1.34,75,87,2.97,AR,1684857583
152,ebon,4.582,168.6964,26.25,80,100,2.67,MH,1684857583
153,meuselwitz,51.05,12.3,14.53,92,100,6.51,DE,1684857584
154,gizo,-8.103,156.8419,25.55,87,100,0.88,SB,1684857584
155,cabo san lucas,22.8909,-109.9124,33.67,52,44,4.43,MX,1684857543
156,biltine,14.5333,20.9167,41.48,8,60,3.55,TD,1684857585
157,flying fish cove,-10.4217,105.6791,25.82,83,75,4.63,CX,1684857585
158,taltal,-25.4,-70.4833,18.93,69,0,2.19,CL,1684857586
159,ouesso,1.6136,16.0517,31.6,52,99,1.29,CG,1684857586
160,skole,49.0372,23.5135,16.88,82,62,0.78,UA,1684857587
161,tsiombe,-25.3,45.4833,17.98,69,11,2.49,MG,1684857587
162,weleri,-6.9713,110.0666,27.94,81,79,1.11,ID,1684857587
163,la passe,45.5549,-0.8967,21.13,71,73,7.98,FR,1684857588
164,aral,40.5156,81.2636,22.91,22,92,6.23,CN,1684857588
165,mejit,10.2753,170.8646,27.38,82,93,7.67,MH,1684857588
166,hermanus,-34.4187,19.2345,15.45,75,27,4.99,ZA,1684857588
167,lhasa,29.65,91.1,11.26,48,91,3.06,CN,1684857561
168,murghob,38.1702,73.9667,7.57,53,95,2.41,TJ,1684857589
169,sisimiut,66.9395,-53.6735,-2.77,87,100,5.67,GL,1684857589
170,kittila,67.6647,24.8936,18.67,63,57,2.57,FI,1684857589
171,rustington,50.8103,-0.5067,19.72,67,40,3.6,GB,1684857590
172,champerico,14.3,-91.9167,30.3,64,87,2.62,GT,1684857590
173,greymouth,-42.4667,171.2,10.81,89,83,1.82,NZ,1684857590
174,oroqen zizhiqi,50.5667,123.7167,12.41,70,100,1.37,CN,1684857590
175,coalinga,36.1397,-120.3602,23.35,35,0,2.44,US,1684857591
176,uglegorsk,49.0833,142.0333,4.23,80,17,3.26,RU,1684857591
177,mandiana,10.6333,-8.6833,37.12,30,99,1.82,GN,1684857591
178,acapulco de juarez,16.8634,-99.8901,29.74,67,40,1.67,MX,1684857591
179,itoigawa,37.0333,137.85,12.23,85,67,1.51,JP,1684857592
180,muroto-misakicho,33.2833,134.15,17.01,61,0,4.34,JP,1684857592
181,kerikeri,-35.2268,173.9474,14.3,77,100,4.63,NZ,1684857592
